id;classroom;time window;is_lab;lab_type;weekday
1;P105;T1;1;1;3
2;P105;T2;1;1;3
3;P105;T3;1;1;3
4;P105;T1;1;1;4
5;P105;T2;1;1;4
6;P105;T3;1;1;4
7;P105;T1;1;1;2
8;P105;T2;1;1;2
9;P105;T3;1;1;2
10;P005;T1;1;1;4
11;P005;T2;1;1;4
12;P005;T3;1;1;4
13;P205;N4;1;1;4
14;P205;N5;1;1;4
15;P205;M2;1;1;3
16;P205;M3;1;1;3
17;P205;M4;1;1;3
18;P205;M5;1;1;3
19;P205;M4;1;1;4
20;P205;M5;1;1;4
21;K008;N2;1;1;4
22;K008;N3;1;1;4
23;K008;N4;1;1;4
24;K008;N5;1;1;4
25;K008;N2;1;1;5
26;K008;N3;1;1;5
27;K008;N4;1;1;5
28;K008;N5;1;1;5
29;K008;N1;1;1;6
30;K008;N2;1;1;6
31;K008;N3;1;1;6
32;P005;T4;1;1;4
33;P005;T5;1;1;4
34;P005;T4;1;1;6
35;P005;T5;1;1;6
36;P205;N2;1;1;2
37;P205;N3;1;1;2
38;P205;N4;1;1;3
39;P205;N5;1;1;3
40;I205;T1;1;1;4
41;I205;T2;1;1;4
42;I205;T3;1;1;4
43;K009;T2;1;1;4
44;K009;T3;1;1;4
45;K009;T2;1;1;5
46;K009;T3;1;1;5
47;P105;N2;1;1;3
48;P105;N3;1;1;3
49;P205;T1;1;1;4
50;P205;T2;1;1;4
51;P205;T3;1;1;4
52;P105;N2;1;1;4
53;P105;N3;1;1;4
54;P105;N4;1;1;4
55;P105;N5;1;1;4
56;K009;M2;1;1;2
57;K009;M3;1;1;2
58;K009;M2;1;1;3
59;K009;M3;1;1;3
60;P205;N1;1;1;5
61;P205;N2;1;1;5
62;P205;N3;1;1;5
63;P205;N4;1;1;6
64;P205;N5;1;1;6
65;P005;N4;1;1;2
66;P005;N5;1;1;2
67;P005;N1;1;1;3
68;P005;N2;1;1;3
69;P005;N3;1;1;3
70;K009;N1;1;1;6
71;K009;N2;1;1;6
72;K009;N3;1;1;6
73;K009;N4;1;1;6
74;K009;N5;1;1;6
