id;major;semester;subject;description;is_lab;units;lab_type;shift
1;55;1;IF61A;INTRODUÇÃO A ENGENHARIA DE COMPUTAÇÃO;0;2;0;N
2;55;1;IF61B;ALGORITMOS;0;3;0;N
3;55;1;IF61C;LOGICA PARA COMPUTAÇÃO;0;2;0;N
4;55;2;IF62A;TECNICAS DE PROGRAMAÇÃO;0;2;0;N
5;55;3;IF63A;ESTRUTURA DE DADOS;0;1;0;N
6;55;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;0;2;0;N
7;55;4;IF64A;BANCO DE DADOS 1;0;2;0;N
8;55;4;IF64B;ANALISE DE ALGORITMOS;0;2;0;N
9;55;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;0;3;0;N
10;55;5;IF65B;BANCO DE DADOS 2;0;2;0;N
11;55;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;0;2;0;N
12;55;5;IF65D;ARQUITETURA DE COMPUTADORES;0;2;0;N
13;55;6;IF66A;COMPILADORES;0;2;0;N
14;55;6;IF66B;ENGENHARIA DE SOFTWARE;0;2;0;N
15;55;6;IF66C;SISTEMAS OPERACIONAIS;0;2;0;N
16;55;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;0;2;0;N
17;55;7;IF67B;INTELIGENCIA ARTIFICIAL;0;2;0;N
18;55;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;0;2;0;N
19;55;7;IF67D;REDES DE COMPUTADORES;0;2;0;N
20;55;8;IF68B;PROGRAMAÇÃO PARA WEB;0;2;0;N
21;55;8;IF68C;SISTEMAS DISTRIBUIDOS;0;2;0;N
22;55;8;IF68D;SEGURANÇA E AUDITORIA DE SISTEMAS;0;2;0;N
23;55;8;IF69I;PROGRAMAÇÃO PARA APLICAÇÕES COMERCIAIS;0;2;0;N
31;55;1;IF61B;ALGORITMOS;1;3;1;N
32;55;1;IF61C;LOGICA PARA COMPUTAÇÃO;1;2;1;N
33;55;2;IF62A;TECNICAS DE PROGRAMAÇÃO;1;2;1;N
34;55;3;IF63A;ESTRUTURA DE DADOS;1;2;1;N
35;55;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;1;2;1;N
36;55;4;IF64A;BANCO DE DADOS 1;1;2;1;N
37;55;4;IF64B;ANALISE DE ALGORITMOS;1;1;1;N
38;55;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;1;2;1;N
39;55;5;IF65B;BANCO DE DADOS 2;1;2;1;N
40;55;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;1;1;1;N
41;55;5;IF65D;ARQUITETURA DE COMPUTADORES;1;2;1;N
42;55;6;IF66A;COMPILADORES;1;2;1;N
43;55;6;IF66B;ENGENHARIA DE SOFTWARE;1;2;1;N
44;55;6;IF66C;SISTEMAS OPERACIONAIS;1;2;1;N
45;55;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;1;2;1;N
46;55;7;IF67B;INTELIGENCIA ARTIFICIAL;1;2;1;N
47;55;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;1;2;1;N
